0.312243	0.58034	1	0	0	0
2.0203	1.13328	4.46616	3.21567	0.264097	30.784
1.19651	0.500931	4.70082	3.59263	0.293077	1.27323
1.30591	0.515848	3.81479	4.5722	0.482803	45.3474
1.50259	0.429894	3.36255	4.92903	0.564273	4.82332
2.08126	0.507978	1.31176	6.61464	1.56621	28.7235
2.16023	0.538369	1.3131	6.69531	1.56346	0.634209
2.53581	0.595511	4.88758	6.81999	4.24625	128.117
2.71348	0.733983	4.88168	7.02669	4.22428	0.418671
3.01156	0.74274	4.81511	6.70358	1.63853	11.0052
3.18849	0.82814	4.78302	6.77137	1.59928	3.48732
3.49106	0.754033	4.77195	6.53897	0.504389	49.4657
3.7375	0.756151	4.69848	6.48429	0.261993	11.1865
4.0135	0.819056	5.08937	6.50999	0.30916	30.8968
4.26806	0.834275	5.07233	6.48014	0.196953	3.49436
4.54117	0.796097	5.08598	6.40338	-0.00286557	4.02488
4.74405	0.845119	5.07425	6.43219	0.0636562	7.88273
5.0074	0.772991	4.95384	6.34313	-0.127947	7.08677
5.28305	0.757831	4.96255	6.30823	-0.184848	3.45059
5.55129	0.765016	5.20799	6.31126	-0.136175	14.6931
5.83189	0.755814	5.2189	6.28983	-0.162926	1.91283
6.09197	0.616447	5.10796	6.17945	-0.362274	11.7393
6.33922	0.659154	5.09296	6.21006	-0.274246	4.64913
6.58657	0.699412	5.07534	6.23674	-0.203083	1.90275
6.83448	0.692943	5.07081	6.2314	-0.195026	0.159651
7.07168	0.648516	4.91114	6.19397	-0.262255	6.81881
7.29708	0.699826	4.88013	6.23026	-0.178022	5.06665
7.58959	0.724588	5.18752	6.26022	-0.0753609	23.8848
7.8452	0.718962	5.18541	6.2572	-0.0742947	0.0763488
8.08074	0.744389	4.98531	6.26803	-0.0662775	9.65872
8.32205	0.766013	4.975	6.28151	-0.0381509	0.599441
8.59766	0.930767	5.24822	6.39154	0.170849	34.5995
8.84819	0.985313	5.23822	6.41654	0.198336	0.755518
9.1207	1.02943	5.25071	6.43036	0.204541	6.70272
9.37146	1.06657	5.24572	6.43956	0.202848	0.652411
9.63604	1.18185	5.29385	6.49247	0.270825	6.49274
9.89918	1.29256	5.30371	6.53829	0.323323	2.43834
10.12	1.46594	5.1193	6.63764	0.488468	12.6985
10.3541	1.53344	5.10977	6.6484	0.467092	0.834692
10.5623	1.68079	4.95558	6.73025	0.603292	8.36104
10.7925	1.7004	4.91784	6.70811	0.523615	3.86968
11.0703	1.68815	5.04856	6.63429	0.318009	13.2618
11.3316	1.72187	5.03043	6.61673	0.267627	3.95965
11.5693	1.76363	4.98123	6.60782	0.237652	1.61326
11.8064	1.81698	4.96746	6.60382	0.213139	0.342559
12.0638	1.93389	5.17319	6.62158	0.195162	8.95908
12.318	1.94832	5.143	6.58821	0.128004	1.74163
12.5849	1.98701	5.24376	6.56215	0.0604169	3.97456
